Model,MSE,MAE,sMAPE,R2-Score
Simple LSTM,0.0004072232445763366,0.016059828137190243,0.018891302600025413,0.8910212191905597
Bi-LSTM,0.0005000506139239725,0.018079012228853664,0.021166436757949537,0.8521526418563456
Simple GRU,0.00022834628914830254,0.011964837421536265,0.01407366311680603,0.9403095873293223
Bi-GRU,0.0012235577912200863,0.030203257378998514,0.03577723942453357,0.6696787248501639
GRU-LSTM,0.0009060262745021321,0.02426845818742699,0.02837164567556185,0.6285710529142268
LSTM-GRU-Bi-LSTM,0.002075882273433005,0.03896816927287234,0.045901362491680725,0.2031777307201621
Stacked LSTM,0.0009451684151423362,0.025767192679360194,0.030379938861843116,0.7169999934312372
CNN-Bi-LSTM,0.0009223105824260224,0.025158315670018652,0.029672016395640002,0.7258388456358698
EEMD-Ensemble CNN,0.00019808381330221891,0.009464983828365803,0.008302686735987663,0.9876543208956718
EEMD-Ensemble-CNN(Large),0.0001667082,0.0092958861,0.0080958734,0.9900237588
