Model,MSE,MAE,RMSE,sMAPE,R2
Simple LSTM,0.0004072232445763366,0.016059828137190243,0.1267273772205132,0.018891302600025413,0.8910212191905597
Bi-LSTM,0.0005000506139239725,0.018079012228853664,0.13445821740917757,0.021166436757949537,0.8521526418563456
Simple GRU,0.00022834628914830254,0.011964837421536265,0.10938389927926442,0.01407366311680603,0.9403095873293223
Bi-GRU,0.0002235577912200863,0.010203257378998513,0.1037908437720426,0.00977723942453357,0.9696787248501639
GRU-LSTM,0.0009060262745021321,0.02426845818742699,0.15578336941864812,0.02837164567556185,0.6285710529142268
LSTM-GRU-Bi-LSTM,0.002075882273433005,0.03896816927287234,0.1974035695545355,0.045901362491680725,0.2031777307201621
Stacked LSTM,0.0009451684151423362,0.025767192679360194,0.16052162682754056,0.030379938861843116,0.7169999934312372
CNN-Bi-LSTM,0.0009223105824260224,0.025158315670018652,0.15861373102609577,0.029672016395640002,0.7258388456358698
LSTM-CNN-GRU,0.04377254406134014,0.20543745768350757,0.4532520906554183,0.2708600441748303,-29.092252035841888
